epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.873,0.96393,3.8466,1.39108,0.01655,0.46523,0.08107,0.06189,0.59303,4.23512,1.20941,0.0829,0.0019,0.0019
2,570.091,0.77486,3.57713,1.27225,0.01784,0.74167,0.18836,0.12789,0.66206,4.12838,1.22684,0.0648614,0.00386139,0.00386139
3,851.627,0.76308,3.15881,1.26882,0.00819,0.87191,0.22269,0.16185,0.82649,4.14062,1.45545,0.0467832,0.00578318,0.00578318
4,1123.32,0.81324,2.79544,1.28129,0.90872,0.12002,0.24059,0.15474,1.00203,3.75814,1.60435,0.0286654,0.00766537,0.00766537
5,1400.76,0.86953,2.42,1.32253,0.71915,0.24487,0.28317,0.15543,1.22807,3.61612,1.90809,0.010508,0.00950796,0.00950796
6,1670.48,0.90975,2.22553,1.33976,0.57991,0.32481,0.36514,0.23522,1.31047,3.52747,1.85949,0.009505,0.009505,0.009505
7,1943.94,0.9653,2.17459,1.36414,0.40824,0.38782,0.3794,0.24094,1.24739,3.55934,1.86682,0.009406,0.009406,0.009406
8,2215.17,0.89595,1.94472,1.29091,0.7074,0.3013,0.39239,0.23245,1.2874,3.4522,1.9583,0.009307,0.009307,0.009307
9,2486.11,0.88463,2.04717,1.31946,0.34342,0.52187,0.39202,0.25118,1.09293,3.37892,1.76909,0.009208,0.009208,0.009208
10,2757.82,0.87309,1.94197,1.30604,0.44634,0.45786,0.36292,0.22243,1.15113,4.04722,1.89764,0.009109,0.009109,0.009109
11,3028.04,0.88313,1.84522,1.30101,0.58927,0.39625,0.43595,0.29001,1.28609,3.87884,1.99238,0.00901,0.00901,0.00901
12,3297.26,0.9298,1.85559,1.31753,0.68889,0.36109,0.48306,0.30385,1.12904,3.60261,1.74434,0.008911,0.008911,0.008911
13,3584.86,0.88978,1.74799,1.29659,0.53961,0.42119,0.38913,0.23768,1.21924,3.69574,1.97923,0.008812,0.008812,0.008812
14,3875.62,0.88326,1.75656,1.30847,0.66054,0.54274,0.555,0.39232,1.02751,3.16478,1.65701,0.008713,0.008713,0.008713
15,4165.36,0.86577,1.67278,1.27136,0.75474,0.32312,0.41046,0.28881,1.00696,3.55495,1.68555,0.008614,0.008614,0.008614
16,4457.33,0.85037,1.69876,1.29389,0.74898,0.50199,0.61537,0.44773,0.90792,2.7751,1.49465,0.008515,0.008515,0.008515
17,4746.91,0.83878,1.57006,1.26316,0.67587,0.35951,0.50052,0.34832,1.03843,3.0324,1.61915,0.008416,0.008416,0.008416
18,5034.9,0.83224,1.653,1.27166,0.64032,0.48202,0.60781,0.44497,1.0353,2.76825,1.60205,0.008317,0.008317,0.008317
19,5325.17,0.85171,1.6234,1.26789,0.77765,0.50047,0.6418,0.45423,0.99413,2.58261,1.5863,0.008218,0.008218,0.008218
20,5608.6,0.82472,1.54453,1.25892,0.83961,0.50174,0.68632,0.44625,1.09376,2.63164,1.71716,0.008119,0.008119,0.008119
21,5880.16,0.83112,1.55464,1.26865,0.59219,0.73354,0.73082,0.49558,1.05688,2.36868,1.63526,0.00802,0.00802,0.00802
22,6152.1,0.80092,1.46423,1.24719,0.46412,0.5222,0.58558,0.39488,1.13758,2.86254,1.6802,0.007921,0.007921,0.007921
23,6418.71,0.815,1.49231,1.22497,0.65821,0.56187,0.65147,0.46659,0.917,2.36919,1.49148,0.007822,0.007822,0.007822
24,6688.17,0.77681,1.32097,1.19003,0.66353,0.61519,0.68593,0.55201,0.85441,2.19719,1.44061,0.007723,0.007723,0.007723
25,6957.36,0.80319,1.36204,1.22226,0.78541,0.51793,0.64247,0.47367,1.00903,2.52326,1.55816,0.007624,0.007624,0.007624
26,7225.11,0.77926,1.38856,1.22255,0.66569,0.68482,0.75599,0.55488,0.96218,2.32497,1.55359,0.007525,0.007525,0.007525
27,7492.12,0.72464,1.29171,1.17771,0.73941,0.6272,0.71189,0.52813,1.12167,2.43647,1.74827,0.007426,0.007426,0.007426
28,7759.62,0.76466,1.27108,1.18988,0.74994,0.64081,0.7097,0.55147,1.10925,2.44114,1.71662,0.007327,0.007327,0.007327
29,8027.3,0.7557,1.26151,1.18515,0.67555,0.4226,0.49119,0.28732,1.51331,2.96209,2.31435,0.007228,0.007228,0.007228
30,8294.93,0.74152,1.23263,1.17203,0.76773,0.64228,0.76433,0.56988,0.9526,2.10286,1.49219,0.007129,0.007129,0.007129
31,8561.11,0.74955,1.25559,1.20279,0.73795,0.68886,0.83146,0.63251,0.90153,2.09482,1.43102,0.00703,0.00703,0.00703
32,8827.32,0.71866,1.21892,1.1444,0.78763,0.60181,0.78988,0.587,0.91751,2.21118,1.46388,0.006931,0.006931,0.006931
33,9093.99,0.72453,1.1811,1.16923,0.8063,0.69962,0.8583,0.68893,0.8528,1.99733,1.35396,0.006832,0.006832,0.006832
34,9359.06,0.72842,1.16197,1.17502,0.86884,0.61749,0.78137,0.61813,0.9151,2.09545,1.4188,0.006733,0.006733,0.006733
35,9626.12,0.73172,1.15639,1.17777,0.65847,0.67412,0.73058,0.57103,0.93992,2.31199,1.49384,0.006634,0.006634,0.006634
36,9892.09,0.69202,1.11985,1.1641,0.83699,0.60994,0.76476,0.57474,0.93409,2.14327,1.48081,0.006535,0.006535,0.006535
37,10158.7,0.69448,1.0908,1.15196,0.71836,0.77139,0.819,0.61792,0.91957,1.97417,1.53524,0.006436,0.006436,0.006436
38,10423.8,0.69216,1.09497,1.14453,0.7334,0.80479,0.863,0.69471,0.83935,1.69386,1.38106,0.006337,0.006337,0.006337
39,10692.1,0.70532,1.10836,1.16186,0.7866,0.73234,0.86168,0.71387,0.79075,1.82821,1.33866,0.006238,0.006238,0.006238
40,10957.1,0.68878,1.08203,1.16123,0.77783,0.64555,0.80262,0.62369,0.88021,1.97851,1.41297,0.006139,0.006139,0.006139
41,11223.3,0.68306,1.03592,1.14892,0.65754,0.82339,0.84856,0.65026,0.93869,1.73301,1.43423,0.00604,0.00604,0.00604
42,11487.1,0.66353,1.03318,1.158,0.65018,0.78297,0.78352,0.61341,0.95113,1.85937,1.45228,0.005941,0.005941,0.005941
43,11752,0.6723,1.00547,1.1399,0.69307,0.86463,0.88482,0.72856,0.83925,1.62171,1.37071,0.005842,0.005842,0.005842
44,12017.4,0.65958,0.9665,1.11171,0.6739,0.88041,0.8843,0.69361,0.84452,1.5649,1.37688,0.005743,0.005743,0.005743
45,12281.3,0.67429,0.99097,1.12544,0.88788,0.67762,0.89408,0.69782,0.91063,1.61678,1.42848,0.005644,0.005644,0.005644
46,12543.4,0.64352,0.94815,1.12466,0.75195,0.75923,0.85542,0.70152,0.84041,1.6446,1.33331,0.005545,0.005545,0.005545
47,12808,0.67667,0.97109,1.133,0.76146,0.83097,0.88048,0.71234,0.82153,1.53847,1.31948,0.005446,0.005446,0.005446
48,13070.7,0.65932,0.9648,1.14316,0.84879,0.72895,0.87327,0.65685,0.83702,1.65288,1.32615,0.005347,0.005347,0.005347
49,13335.4,0.63962,0.96238,1.10888,0.86609,0.81443,0.89965,0.67925,0.85063,1.54593,1.34774,0.005248,0.005248,0.005248
50,13597.4,0.64089,0.95515,1.10653,0.7351,0.74226,0.85034,0.66915,0.83718,1.60011,1.35527,0.005149,0.005149,0.005149
51,13860.1,0.62694,0.8767,1.10686,0.83203,0.80747,0.89671,0.69201,0.82513,1.55384,1.33417,0.00505,0.00505,0.00505
52,14124.8,0.60827,0.88774,1.09499,0.85901,0.77241,0.88539,0.72177,0.7898,1.54284,1.29431,0.004951,0.004951,0.004951
53,14389.5,0.62394,0.88263,1.09371,0.8923,0.8081,0.88554,0.69223,0.85122,1.5549,1.38476,0.004852,0.004852,0.004852
54,14658.2,0.61346,0.87906,1.08299,0.82818,0.85347,0.89571,0.72272,0.82792,1.48019,1.36071,0.004753,0.004753,0.004753
55,14922.8,0.61653,0.86307,1.1046,0.91206,0.78594,0.9089,0.71866,0.85145,1.5184,1.38607,0.004654,0.004654,0.004654
56,15187.5,0.61082,0.8887,1.10579,0.87066,0.78853,0.88736,0.70348,0.76706,1.6415,1.28173,0.004555,0.004555,0.004555
57,15452.1,0.61856,0.87713,1.10696,0.85112,0.82801,0.8882,0.68979,0.79621,1.65738,1.33147,0.004456,0.004456,0.004456
58,15714.6,0.58413,0.85504,1.08953,0.89889,0.80608,0.89815,0.71822,0.80402,1.5002,1.32487,0.004357,0.004357,0.004357
59,15980.1,0.61534,0.82152,1.09132,0.78754,0.8767,0.90231,0.72782,0.77667,1.38634,1.28823,0.004258,0.004258,0.004258
60,16243.2,0.62223,0.85294,1.09784,0.86524,0.82564,0.90662,0.76725,0.80705,1.43793,1.32177,0.004159,0.004159,0.004159
61,16505.5,0.57112,0.76829,1.06343,0.70823,0.88474,0.88771,0.72952,0.84251,1.42973,1.37422,0.00406,0.00406,0.00406
62,16767.6,0.57794,0.79254,1.06888,0.72951,0.86891,0.88105,0.72663,0.8158,1.42268,1.32059,0.003961,0.003961,0.003961
63,17030.8,0.57563,0.75215,1.07787,0.82894,0.8417,0.8896,0.71274,0.80842,1.41958,1.35795,0.003862,0.003862,0.003862
64,17290.6,0.56774,0.80865,1.06795,0.88221,0.8439,0.88319,0.71042,0.78974,1.36908,1.35147,0.003763,0.003763,0.003763
65,17551.1,0.56207,0.75754,1.05499,0.89594,0.83638,0.88856,0.73841,0.82106,1.35478,1.36241,0.003664,0.003664,0.003664
66,17811.8,0.55437,0.74501,1.05886,0.89924,0.81188,0.89225,0.75684,0.75606,1.35752,1.31977,0.003565,0.003565,0.003565
67,18074.8,0.53584,0.75529,1.05417,0.877,0.83447,0.90605,0.76103,0.74796,1.35605,1.30263,0.003466,0.003466,0.003466
68,18336.7,0.56363,0.74506,1.05354,0.89052,0.83564,0.89297,0.75087,0.77352,1.39464,1.30758,0.003367,0.003367,0.003367
69,18597,0.56183,0.76715,1.08187,0.92793,0.83177,0.90774,0.75262,0.79732,1.26169,1.29947,0.003268,0.003268,0.003268
70,18859.2,0.53322,0.71238,1.03928,0.92284,0.85452,0.91088,0.75633,0.78895,1.21294,1.29418,0.003169,0.003169,0.003169
71,19123.8,0.52549,0.72425,1.0454,0.87151,0.79675,0.89264,0.73139,0.78869,1.31056,1.29325,0.00307,0.00307,0.00307
72,19387.2,0.50543,0.69096,1.03906,0.87253,0.85115,0.89904,0.75488,0.80818,1.30737,1.29209,0.002971,0.002971,0.002971
73,19652.5,0.52726,0.67993,1.03234,0.94399,0.82112,0.89368,0.74384,0.80752,1.2615,1.3065,0.002872,0.002872,0.002872
74,19914.5,0.53315,0.69815,1.03612,0.9415,0.8339,0.89567,0.7268,0.82094,1.24839,1.3379,0.002773,0.002773,0.002773
75,20177.8,0.51314,0.66537,1.02229,0.91274,0.85326,0.90844,0.75692,0.77695,1.21477,1.27749,0.002674,0.002674,0.002674
76,20445.3,0.52279,0.69985,1.04754,0.89118,0.86202,0.91003,0.7631,0.80124,1.19813,1.2967,0.002575,0.002575,0.002575
77,20710.2,0.50024,0.66396,1.03436,0.89214,0.83642,0.89977,0.7614,0.77172,1.21067,1.27999,0.002476,0.002476,0.002476
78,20976.7,0.48823,0.62709,1.01712,0.89968,0.83899,0.89707,0.7557,0.72302,1.19181,1.23695,0.002377,0.002377,0.002377
79,21241,0.48423,0.60098,1.01267,0.88788,0.86381,0.90759,0.74389,0.77229,1.1999,1.26815,0.002278,0.002278,0.002278
80,21508,0.47154,0.62176,1.02875,0.90045,0.84614,0.91061,0.77247,0.7335,1.12967,1.23037,0.002179,0.002179,0.002179
81,21775.7,0.49747,0.63473,1.03022,0.90153,0.82568,0.9071,0.75292,0.75462,1.17649,1.27063,0.00208,0.00208,0.00208
82,22039,0.47945,0.61093,1.01078,0.88062,0.83064,0.90121,0.75866,0.77398,1.22193,1.29742,0.001981,0.001981,0.001981
83,22305.8,0.49903,0.61556,1.02428,0.89135,0.83451,0.91333,0.75624,0.7589,1.18297,1.27329,0.001882,0.001882,0.001882
84,22572.1,0.49663,0.61801,1.01038,0.85721,0.86347,0.91444,0.75566,0.74151,1.16303,1.2412,0.001783,0.001783,0.001783
85,22840.4,0.45542,0.59953,1.01401,0.85811,0.81987,0.89658,0.75823,0.73565,1.19734,1.24684,0.001684,0.001684,0.001684
86,23109,0.46169,0.58688,0.9946,0.9279,0.84669,0.92363,0.78974,0.69689,1.07945,1.21662,0.001585,0.001585,0.001585
87,23377.2,0.45938,0.58319,1.00758,0.92078,0.84284,0.91348,0.79096,0.69623,1.0808,1.18977,0.001486,0.001486,0.001486
88,23644,0.44604,0.60499,0.99906,0.91169,0.84267,0.90346,0.77481,0.73693,1.13012,1.21853,0.001387,0.001387,0.001387
89,23914,0.48458,0.63717,1.01197,0.92654,0.84343,0.9031,0.74605,0.76036,1.20906,1.28278,0.001288,0.001288,0.001288
90,24182.8,0.46472,0.60881,1.02648,0.90982,0.85278,0.91273,0.76008,0.74134,1.18207,1.24348,0.001189,0.001189,0.001189
91,24450.3,0.37008,0.74138,0.99103,0.90224,0.8449,0.89565,0.7607,0.73821,1.23224,1.23639,0.00109,0.00109,0.00109
92,24718,0.35806,0.70572,0.97841,0.91489,0.84802,0.90224,0.75854,0.74092,1.19845,1.26881,0.000991,0.000991,0.000991
93,24989.3,0.3473,0.6761,0.96085,0.92586,0.8424,0.90248,0.74859,0.76952,1.23763,1.30132,0.000892,0.000892,0.000892
94,25258.6,0.35388,0.646,0.96742,0.92049,0.85117,0.91944,0.75057,0.75713,1.1586,1.29735,0.000793,0.000793,0.000793
95,25530.1,0.33453,0.6471,0.95804,0.92564,0.85237,0.92016,0.75778,0.75932,1.13708,1.2899,0.000694,0.000694,0.000694
96,25801.1,0.3546,0.64325,0.97847,0.91978,0.84899,0.91288,0.76032,0.74782,1.12759,1.27559,0.000595,0.000595,0.000595
